[08/02/2021, 17:06] Job_Load: Table 'scrp.jobs' doesn't exist
[08/02/2021, 17:06] Crate_Load: Table 'scrp.crates' doesn't exist
[08/02/2021, 17:06] Plant_Load: Table 'scrp.plants' doesn't exist
[08/02/2021, 17:06] Faction_Load: Table 'scrp.factions' doesn't exist
[08/02/2021, 17:06] Arrest_Load: Table 'scrp.arrestpoints' doesn't exist
[08/02/2021, 17:06] Gate_Load: Table 'scrp.gates' doesn't exist
[08/02/2021, 17:06] Backpack_Load: Table 'scrp.backpacks' doesn't exist
[08/02/2021, 17:06] Impound_Load: Table 'scrp.impoundlots' doesn't exist
[08/02/2021, 17:06] ATM_Load: Table 'scrp.atm' doesn't exist
[08/02/2021, 17:06] Garbage_Load: Table 'scrp.garbage' doesn't exist
[08/02/2021, 17:06] Vendor_Load: Table 'scrp.vendors' doesn't exist
[08/02/2021, 17:06] Rack_Load: Table 'scrp.gunracks' doesn't exist
[08/02/2021, 17:06] Speed_Load: Table 'scrp.speedcameras' doesn't exist
[08/02/2021, 17:06] Graffiti_Load: Table 'scrp.graffiti' doesn't exist
[08/02/2021, 17:06] Detector_Load: Table 'scrp.detectors' doesn't exist
[09/02/2021, 00:11] n/a: Unknown column 'factionLeader' in 'field list'
[09/02/2021, 00:25] n/a: Unknown column 'factionLeader' in 'field list'
[09/02/2021, 00:26] n/a: Unknown column 'factionLeader' in 'field list'
[10/02/2021, 14:28] n/a: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'WH' at line 1
[10/02/2021, 14:45] n/a: Unknown column 'factionLeader' in 'field list'
[10/02/2021, 16:37] n/a: Unknown column 'factionLeader' in 'field list'
[15/02/2021, 18:38] n/a: Unknown column 'factionLeader' in 'field list'
[15/02/2021, 18:46] n/a: Unknown column 'factionLeader' in 'field list'
[15/02/2021, 18:47] n/a: Unknown column 'factionLeader' in 'field list'
[15/02/2021, 20:00] n/a: Unknown column 'factionLeader' in 'field list'
[15/02/2021, 20:50] n/a: Unknown column 'atmA' in 'field list'
[16/02/2021, 15:48] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 15:55] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 16:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 16:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 16:32] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:20] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:23] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:23] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:29] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:46] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:46] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:48] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:51] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:51] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 17:54] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 18:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 18:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 18:01] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 18:04] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:00] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:01] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:16] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:16] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:16] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:25] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 19:33] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:02] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:02] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:13] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:15] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:15] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:15] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:15] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:16] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:16] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:17] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:17] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:17] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:20] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:28] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:28] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:49] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 20:49] n/a: Unknown column 'factionLeader' in 'field list'
[16/02/2021, 22:05] n/a: Unknown column 'atmA' in 'field list'
[16/02/2021, 22:06] n/a: Unknown column 'atmA' in 'field list'
[16/02/2021, 22:06] n/a: Unknown column 'atmA' in 'field list'
[16/02/2021, 22:06] n/a: Unknown column 'atmA' in 'field list'
[17/02/2021, 03:15] n/a: Unknown column 'factionLeader' in 'field list'
[17/02/2021, 18:38] n/a: Unknown column 'factionLeader' in 'field list'
